 ,X,Y
1042,27.500,142.500
1043,32.500,142.500
1044,37.500,142.500
1045,42.500,142.500
1046,47.500,142.500
1047,52.500,142.500
1048,57.500,142.500
1049,62.500,142.500
1050,67.500,142.500
1051,72.500,142.500
1052,77.500,142.500
1053,82.500,142.500
1054,87.500,142.500
1055,92.500,142.500
1056,97.500,142.500
1057,102.500,142.500
1058,107.500,142.500
1059,112.500,142.500
1060,117.500,142.500
1061,122.500,142.500
1062,127.500,142.500
1063,132.500,142.500
1064,137.500,142.500
1065,142.500,142.500
1066,147.500,142.500
1067,152.500,142.500
1068,157.500,142.500
1069,162.500,142.500
1070,167.500,142.500
1071,172.500,142.500
1072,177.500,142.500
1073,180.500,142.500
1074,2.500,147.500
1075,7.500,147.500
1076,12.500,147.500
1077,17.500,147.500
1078,22.500,147.500
1079,27.500,147.500
1080,32.500,147.500
1081,37.500,147.500
1082,42.500,147.500
1083,47.500,147.500
1084,52.500,147.500
1085,57.500,147.500
1086,62.500,147.500
1087,67.500,147.500
1088,72.500,147.500
1089,77.500,147.500
1090,82.500,147.500
1091,87.500,147.500
1092,92.500,147.500
1093,97.500,147.500
1094,102.500,147.500
1095,107.500,147.500
1096,112.500,147.500
1097,117.500,147.500
1098,122.500,147.500
1099,127.500,147.500
1100,132.500,147.500
1101,137.500,147.500
1102,142.500,147.500
1103,147.500,147.500
1104,152.500,147.500
1105,157.500,147.500
1106,162.500,147.500
1107,167.500,147.500
1108,172.500,147.500
1109,177.500,147.500
1110,180.500,147.500
1111,2.500,152.500
1112,7.500,152.500
1113,12.500,152.500
1114,17.500,152.500
1115,22.500,152.500
1116,27.500,152.500
1117,32.500,152.500
1118,37.500,152.500
1119,42.500,152.500
1120,47.500,152.500
1121,52.500,152.500
1122,57.500,152.500
1123,62.500,152.500
1124,67.500,152.500
1125,72.500,152.500
1126,77.500,152.500
1127,82.500,152.500
1128,87.500,152.500
1129,92.500,152.500
1130,97.500,152.500
1131,102.500,152.500
1132,107.500,152.500
1133,112.500,152.500
1134,117.500,152.500
1135,122.500,152.500
1136,127.500,152.500
1137,132.500,152.500
1138,137.500,152.500
1139,142.500,152.500
1140,147.500,152.500
1141,152.500,152.500
1142,157.500,152.500
1143,162.500,152.500
1144,167.500,152.500
1145,172.500,152.500
1146,177.500,152.500
1147,180.500,152.500
1148,2.500,157.500
1149,7.500,157.500
1150,12.500,157.500
1151,17.500,157.500
1152,22.500,157.500
1153,27.500,157.500
1154,32.500,157.500
1155,37.500,157.500
1156,42.500,157.500
1157,47.500,157.500
1158,52.500,157.500
1159,57.500,157.500
1160,62.500,157.500
1161,67.500,157.500
1162,72.500,157.500
1163,77.500,157.500
1164,82.500,157.500
1165,87.500,157.500
1166,92.500,157.500
1167,97.500,157.500
1168,102.500,157.500
1169,107.500,157.500
1170,112.500,157.500
1171,117.500,157.500
1172,122.500,157.500
1173,127.500,157.500
1174,132.500,157.500
1175,137.500,157.500
1176,142.500,157.500
1177,147.500,157.500
1178,152.500,157.500
1179,157.500,157.500
1180,162.500,157.500
1181,167.500,157.500
1182,172.500,157.500
1183,177.500,157.500
1184,180.500,157.500
1185,2.500,162.500
1186,7.500,162.500
1187,12.500,162.500
1188,17.500,162.500
1189,22.500,162.500
1190,27.500,162.500
1191,32.500,162.500
1192,37.500,162.500
1193,42.500,162.500
1194,47.500,162.500
1195,52.500,162.500
1196,57.500,162.500
1197,62.500,162.500
1198,67.500,162.500
1199,72.500,162.500
1200,77.500,162.500
1201,82.500,162.500
1202,87.500,162.500
1203,92.500,162.500
1204,97.500,162.500
1205,102.500,162.500
1206,107.500,162.500
